year,mtl_avg_temp
1750,5.00
1751,5.62
1752,-3.22
1753,4.44
1754,4.54
1755,1.16
1756,4.80
1757,3.70
1758,3.14
1759,3.92
1760,2.36
1761,4.98
1762,4.66
1763,1.82
1764,4.24
1765,3.66
1766,5.00
1767,3.24
1768,3.71
1769,4.09
1770,4.10
1771,4.75
1772,4.57
1773,4.99
1774,4.25
1775,5.26
1776,4.32
1777,3.81
1778,1.71
1779,4.87
1780,7.47
1781,4.66
1782,4.07
1783,3.77
1784,3.49
1785,3.48
1786,3.99
1787,3.99
1788,4.69
1789,4.37
1790,4.32
1791,4.29
1792,3.70
1793,4.81
1794,4.81
1795,4.21
1796,4.07
1797,3.86
1798,4.53
1799,4.08
1800,4.67
1801,5.07
1802,5.26
1803,4.87
1804,4.60
1805,5.23
1806,4.23
1807,4.06
1808,4.33
1809,3.56
1810,4.10
1811,4.30
1812,2.57
1813,3.82
1814,3.62
1815,3.22
1816,2.81
1817,2.73
1818,3.30
1819,3.91
1820,3.88
1821,3.76
1822,4.28
1823,3.32
1824,4.10
1825,5.02
1826,4.96
1827,4.25
1828,5.31
1829,3.86
1830,4.67
1831,4.10
1832,3.93
1833,3.96
1834,4.06
1835,2.94
1836,2.65
1837,2.83
1838,3.37
1839,4.19
1840,4.35
1841,4.02
1842,3.88
1843,3.59
1844,3.19
1845,3.55
1846,4.41
1847,4.12
1848,4.20
1849,3.67
1850,3.81
1851,3.67
1852,3.93
1853,4.07
1854,3.78
1855,4.02
1856,3.21
1857,3.86
1858,3.55
1859,3.55
1860,4.10
1861,4.02
1862,3.45
1863,3.81
1864,4.55
1865,4.46
1866,3.85
1867,3.57
1868,3.33
1869,3.76
1870,5.27
1871,3.82
1872,3.80
1873,3.33
1874,3.67
1875,2.22
1876,3.95
1877,5.37
1878,5.67
1879,3.71
1880,4.70
1881,4.95
1882,4.13
1883,3.05
1884,4.15
1885,3.10
1886,3.95
1887,3.60
1888,3.12
1889,5.13
1890,3.67
1891,5.12
1892,4.25
1893,3.52
1894,4.95
1895,4.58
1896,4.16
1897,4.51
1898,5.42
1899,4.81
1900,4.66
1901,4.67
1902,4.62
1903,4.59
1904,2.90
1905,3.83
1906,4.54
1907,3.62
1908,4.65
1909,4.48
1910,4.88
1911,4.81
1912,3.70
1913,5.44
1914,3.60
1915,5.61
1916,4.57
1917,2.87
1918,4.14
1919,4.75
1920,4.65
1921,5.88
1922,4.92
1923,3.88
1924,4.12
1925,4.39
1926,3.26
1927,5.18
1928,4.66
1929,4.39
1930,5.26
1931,6.11
1932,5.27
1933,4.71
1934,3.97
1935,4.14
1936,4.20
1937,5.83
1938,5.39
1939,4.32
1940,4.01
1941,5.15
1942,5.30
1943,3.89
1944,4.97
1945,5.23
1946,5.37
1947,5.03
1948,5.19
1949,6.14
1950,4.98
1951,5.28
1952,5.77
1953,6.63
1954,4.84
1955,5.22
1956,4.46
1957,5.44
1958,4.43
1959,5.18
1960,5.44
1961,5.25
1962,4.38
1963,4.43
1964,5.31
1965,4.54
1966,5.25
1967,4.55
1968,4.62
1969,5.22
1970,4.65
1971,4.67
1972,3.99
1973,6.03
1974,4.55
1975,5.54
1976,4.12
1977,5.19
1978,4.17
1979,5.62
1980,4.36
1981,5.68
1982,4.76
1983,5.77
1984,5.36
1985,4.61
1986,4.81
1987,5.47
1988,5.29
1989,4.25
1990,6.07
1991,5.82
1992,4.41
1993,4.52
1994,4.72
1995,5.47
1996,5.25
1997,4.54
1998,7.00
1999,6.71
2000,5.14
2001,6.46
2002,6.01
2003,4.92
2004,4.91
2005,5.95
2006,6.95
2007,5.25
2008,5.62
2009,5.27
2010,7.11
2011,6.52
2012,7.09
2013,7.86
